Talhão;Código;Latitude;Longitude
BS-01;AL552750Z;-16.847;-53.642
BS-01;AL550430Z;-16.836;-53.63
BS-02;AL552751Z;-16.847;-53.642
BS-02;AL550431Z;-16.837;-53.638
BS-03;AL553878Z;-16.847;-53.642
BS-03;AL551118Z;-16.839;-53.649
BS-04;AL551037Z;-16.837;-53.655
BS-05;AL553879Z;-16.847;-53.642
BS-05;AL550432Z;-16.82;-53.639
BS-06;AL553880Z;-16.847;-53.642
BS-06;AL550433Z;-16.824;-53.647
BS-07;AL553881Z;-16.847;-53.642
BS-07;AL550434Z;-16.804;-53.638
BS-08;AL553882Z;-16.847;-53.642
BS-08;AL550435Z;-16.809;-53.652
BS-09;AL553895Z;-16.804;-53.655
BS-09;AL550436Z;-16.794;-53.645
BS-10;AL553896Z;-16.804;-53.655
BS-10;AL550437Z;-16.796;-53.655
BS-11;AL553897Z;-16.804;-53.655
BS-11;AL550438Z;-16.779;-53.646
BS-12;AL553898Z;-16.804;-53.655
BS-12;AL550439Z;-16.819;-53.66
BS-13;AL552752Z;-16.847;-53.642
BS-13;AL550440Z;-16.834;-53.666
BS-14;AL552753Z;-16.847;-53.642
BS-14;AL551119Z;-16.825;-53.678
BT-01;AL552886Z;-10.47;-45.496
CA-01;AL553968Z;-16.756;-53.746
CA-01-1;AL550443Z;-16.847;-53.975
CA-01-2;AL553542Z;-16.847;-53.973
CA-02;AL553969Z;-16.756;-53.746
CA-02;AL552040Z;-16.849;-53.97
CA-02;AL550444Z;-16.849;-53.97
CA-03;AL553970Z;-16.863;-53.983
CA-03;AL550445Z;-16.851;-53.984
CA-04;AL553971Z;-16.863;-53.983
CA-04;AL550446Z;-16.857;-53.976
CA-05;AL553910Z;-16.863;-53.983
CA-05;AL550447Z;-16.858;-53.989
CA-06;AL553911Z;-16.863;-53.983
CA-06;AL551820Z;-16.862;-53.983
CA-07;AL553912Z;-16.863;-53.983
CA-07;AL550449Z;-16.867;-54.006
CB-01;AL554094Z;-12.911;-56.369
CB-01;AL550168Z;-12.867;-56.336
CB-02;AL554095Z;-12.911;-56.369
CB-02;AL550169Z;-12.863;-56.343
CB-03;AL554096Z;-12.911;-56.369
CB-03;AL550170Z;-12.854;-56.344
CD-01;AL554002Z;-12.979;-56.192
CD-01;AL550171Z;-12.982;-56.186
CD-02;AL554003Z;-12.979;-56.192
CD-02;AL550172Z;-12.982;-56.175
CD-03;AL554004Z;-12.979;-56.192
CD-03;AL550038Z;-12.982;-56.163
CD-04;AL554005Z;-12.979;-56.192
CD-04;AL550039Z;-12.98;-56.15
CD-05;AL554006Z;-12.979;-56.192
CD-05;AL550040Z;-12.971;-56.14
CD-06;AL554007Z;-12.979;-56.192
CD-06;AL550041Z;-12.978;-56.135
CD-07;AL554008Z;-12.979;-56.192
CD-07;AL550174Z;-12.959;-56.134
CD-08;AL554009Z;-12.979;-56.192
CD-08;AL550042Z;-12.957;-56.146
CD-09;AL554010Z;-12.979;-56.192
CD-09;AL550043Z;-12.959;-56.157
CD-10;AL554011Z;-12.979;-56.192
CD-10;AL550175Z;-12.964;-56.167
CD-11;AL554012Z;-12.979;-56.192
CD-11;AL550176Z;-12.965;-56.18
CD-12;AL554013Z;-12.979;-56.192
CD-12;AL550177Z;-12.969;-56.188
CD-13;AL554014Z;-12.979;-56.192
CD-13;AL550045Z;-12.97;-56.201
CD-14;AL554015Z;-12.979;-56.192
CD-14;AL550178Z;-12.981;-56.204
CD-15;AL554016Z;-12.979;-56.192
CD-15;AL550179Z;-12.992;-56.196
CL-01;AL554225Z;-10.488;-45.411
CL-01;AL551123Z;-10.489;-45.424
CN-01;AL554230Z;-10.449;-45.377
CN-01;AL551580Z;-10.446;-45.388
CN-02;AL554231Z;-10.452;-45.415
CN-02;AL552003Z;-10.447;-45.405
CN-02;AL551785Z;-10.447;-45.405
CP-01;AL553899Z;-16.798;-53.952
CP-01;AL550464Z;-16.826;-53.971
CP-02;AL553900Z;-16.798;-53.952
CP-02;AL550465Z;-16.822;-53.964
CP-03;AL553901Z;-16.798;-53.952
CP-03;AL550891Z;-16.812;-53.958
CP-04;AL553902Z;-16.798;-53.952
CP-04;AL550892Z;-16.804;-53.95
CP-05;AL553903Z;-16.798;-53.952
CP-05;AL550893Z;-16.797;-53.944
CP-06;AL553904Z;-16.798;-53.952
CP-06;AL550931Z;-16.797;-53.932
CP-07;AL553905Z;-16.798;-53.952
CP-07;AL550932Z;-16.788;-53.927
CP-08;AL553906Z;-16.798;-53.952
CP-08;AL550468Z;-16.789;-53.917
CP-09;AL553907Z;-16.798;-53.952
CP-09;AL550469Z;-16.785;-53.919
CP-10;AL553908Z;-16.798;-53.952
CP-10;AL550924Z;-16.787;-53.947
CP-11;AL553909Z;-16.798;-53.952
CP-11;AL550925Z;-16.779;-53.934
CR-01;AL552293Z;-16.838;-54.001
CR-02;AL552294Z;-16.834;-54.005
CR-03;AL550192Z;-16.838;-54.012
CR-04;AL550048Z;-16.846;-54.019
CR-05;AL550049Z;-16.852;-54.025
CS-01;AL551127Z;-16.938;-53.649
CS-02;AL551128Z;-16.946;-53.655
CS-02;AL552006Z;-16.942;-53.657
CS-03;AL551353Z;-16.948;-53.665
CS-04;AL551130Z;-16.946;-53.681
CS-04;AL553640Z;-16.951;-53.673
CS-05;AL551131Z;-16.941;-53.684
CS-06;AL551132Z;-16.937;-53.676
CS-07;AL553411Z;-16.928;-53.669
CS-07;AL551133Z;-16.932;-53.669
CU-01;AL553819Z;-13.224;-56.718
CU-01;AL550480Z;-13.239;-56.724
CU-02;AL553820Z;-13.224;-56.718
CU-02;AL550481Z;-13.234;-56.715
CU-03;AL553821Z;-13.224;-56.718
CU-03;AL550482Z;-13.228;-56.71
CU-04;AL553822Z;-13.224;-56.718
CU-04;AL550483Z;-13.222;-56.704
CU-05;AL550484Z;-13.216;-56.719
CU-06;AL550485Z;-13.208;-56.714
CU-07;AL550486Z;-13.198;-56.724
CU-08;AL550487Z;-13.201;-56.711
CU-09;AL550488Z;-13.19;-56.715
CU-10;AL550489Z;-13.176;-56.719
CU-11;AL550490Z;-13.175;-56.728
CU-12;AL550491Z;-13.192;-56.732
CU-13;AL550492Z;-13.199;-56.743
CU-14;AL550493Z;-13.175;-56.743
CU-15;AL550836Z;-13.167;-56.741
CU-16;AL553823Z;-13.224;-56.718
CU-16;AL550495Z;-13.158;-56.734
CX-01;AL552004Z;-10.555;-45.673
DV-02;AL554098Z;-12.921;-56.323
DV-02;AL550050Z;-12.916;-56.349
DV-03;AL554099Z;-12.921;-56.323
DV-03;AL550051Z;-12.924;-56.345
DV-04;AL554100Z;-12.921;-56.323
DV-04;AL550052Z;-12.907;-56.346
DV-05;AL554101Z;-12.921;-56.323
DV-05;AL550053Z;-12.916;-56.341
DV-06;AL554102Z;-12.921;-56.323
DV-06;AL550054Z;-12.897;-56.324
DV-07;AL554103Z;-12.921;-56.323
DV-07;AL550055Z;-12.905;-56.318
EL-01;AL553532Z;-16.869;-53.973
EL-01;AL550496Z;-16.872;-53.976
EL-02;AL550056Z;-16.874;-53.986
EL-03;AL550057Z;-16.88;-53.994
EL-04;AL550058Z;-16.885;-54
EL-05;AL550059Z;-16.898;-54.002
EL-06;AL550060Z;-16.894;-53.996
EL-07;AL550061Z;-16.89;-53.988
EL-08;AL550497Z;-16.887;-53.981
EL-09;AL550498Z;-16.883;-53.974
EL-10;AL550499Z;-16.896;-53.978
EL-11;AL550062Z;-16.9;-53.983
EL-12;AL550063Z;-16.904;-53.99
EL-13;AL550064Z;-16.908;-53.998
EL-14;AL550065Z;-16.917;-53.993
EL-15;AL550066Z;-16.923;-53.983
EL-16;AL550067Z;-16.915;-53.984
EL-17;AL550068Z;-16.911;-53.977
EL-18;AL550500Z;-16.905;-53.969
EL-19;AL550501Z;-16.897;-53.97
ER-01;AL554252Z;-13.186;-53.983
ER-01;AL551551Z;-13.186;-53.983
ER-02;AL551552Z;-13.185;-53.971
ER-03;AL551553Z;-13.183;-53.959
ER-04;AL551554Z;-13.176;-53.969
ER-05;AL551555Z;-13.163;-53.963
ER-06;AL551556Z;-13.163;-53.953
ER-07;AL551557Z;-13.161;-53.942
ER-08;AL553738Z;-13.181;-53.947
FL-01;AL550502Z;-16.372;-55.21
FL-02;AL550899Z;-16.369;-55.21
FL-03;AL550900Z;-16.377;-55.227
FL-04-1;AL550901Z;-16.383;-55.235
FL-04-2;AL553678Z;-16.383;-55.235
FL-05;AL550902Z;-16.392;-55.242
GZ-01;AL553913Z;-16.702;-53.739
