Sensor/Armadilha;Latitude;Longitude
ER-P02;-13,1710;-53,9620
GZ-P01;-16,7020;-53,7390
GZ-P01;-16,6770;-53,8100
GZ-P01;-16,6890;-53,7770
GZ-P02;-16,7150;-53,7580
GZ-P02;-16,6980;-53,7890
GZ-P02;-16,6640;-53,8130
GZ-P3;-16,6880;-53,8210
IP-P01;-10,5670;-45,3650
IP-P02;-10,5860;-45,3480
J2-P01;-16,7450;-53,9920
J2-P02;-16,7560;-53,9780
KM-P01;-12,7930;-56,4070
KM-P02;-12,7780;-56,3920
LD-P01;-16,9480;-53,6050
LD-P02;-16,9400;-53,6300
LU-P01;-13,7380;-52,5700
LU-P02;-13,7560;-52,5510
LU-P03;-13,7630;-52,5830
LU-P04;-13,7840;-52,5640
LU-P05;-13,8080;-52,5640
LU-P06;-13,8160;-52,5860
MA-P01;-13,8420;-57,4830
MA-P02;-13,8590;-57,4890
MA-P03;-13,8330;-57,4620
MA-P04;-13,8490;-57,4680
MA-P05;-13,8240;-57,4400
MA-P06;-13,8370;-57,4400
MA-P07;-13,8530;-57,4600
MP-P01;-13,4560;-56,5870
MP-P02;-13,4750;-56,5810
OV-P01;-16,7440;-53,8970
OV-P02;-16,7180;-53,8940
OV-P03;-16,7450;-53,9590
OV-P04;-16,7100;-53,9080
P01-MI50-51;-16,3480;-55,0200
P01-SC;-16,2700;-55,1370
P02-MI47-48;-16,3500;-55,0470
P02-SC;-16,2500;-55,1280
P03-MI03-05;-16,3680;-55,0570
P04-MI44-46-57;-16,3450;-55,0760
P05-MI04-40-44-SEDE;-16,3630;-55,0760
P06-MI37-38-41-42;-16,3520;-55,0940
P07-MI04-06-07;-16,3770;-55,0820
P08-MI29-30-33-34;-16,3520;-55,1190
P09-MI27-28-31-32;-16,3690;-55,1100
PB-P01;-13,7700;-52,7240
PB-P02;-13,7430;-52,7180
PB-P03;-13,7160;-52,7120
PB-P04;-13,6980;-52,7310
PB-P05;-13,6890;-52,7580
PB-P06;-13,6890;-52,7730
PB-P07;-13,6740;-52,7580
PB-P08;-13,6610;-52,7410
PB-P09;-13,6530;-52,7070
PB-P10;-13,6820;-52,7130
PB-P11;-13,6770;-52,7340
PF-P01;-10,6180;-45,5030
PF-P02;-10,6380;-45,5220
PI-P11;-12,2210;-55,9040
PI-P12;-12,2220;-55,9040
PL-P01;-13,8040;-54,7630
PL-P02;-13,8350;-54,7330
PL-P03;-13,8270;-54,7100
PL-P04;-13,8580;-54,6940
PL-P05;-13,8620;-54,7220
PL-P06;-13,8890;-54,6960
PL-P07;-13,9130;-54,7080
PL-P08;-13,9270;-54,7310
PL-P09;-13,8850;-54,7320
PL-P10;-13,9090;-54,7590
PL-P11;-13,9180;-54,7820
PL-P12;-13,8870;-54,7700
PL-P13;-13,8630;-54,7710
PL-P14;-13,8300;-54,7850
PT-P01;-16,8010;-53,9010
PT-P01;-16,7730;-53,8080
PT-P02;-16,7900;-53,8990
PT-P02;-16,7350;-53,7960
PT-P03;-16,7810;-53,8920
PT-P03;-16,7290;-53,8110
QT-P01;-13,3580;-55,6710
QT-P02;-13,3450;-55,6670
QT-P03;-13,3280;-55,6770
QT-P04;-13,3440;-55,6850
QT-P05;-13,3390;-55,7050
QT-P06;-13,3390;-55,7200
QT-P07;-13,3410;-55,7450
QT-P08;-13,3500;-55,7140
QT-P09;-13,3720;-55,6910
SA-P01;-16,8360;-53,9650
SA-P02;-16,8110;-53,9290
SC-P01;-16,7880;-54,8120
SC-P01;-16,7540;-53,8790
SC-P02;-16,8090;-54,8080
SC-P02;-16,7300;-53,8680
SC-P03;-16,8050;-54,8240
SC-P03;-16,7250;-53,8400
SC-P04;-16,7010;-53,8460
SC-P04;-16,7990;-54,8490
SC-P05;-16,7220;-53,8630
SC-P05;-16,7860;-54,8470
SC-P06;-16,7670;-54,8660
SC-P07;-16,7400;-54,8440
SC-P08;-16,7640;-54,8030
SC-P09;-16,7460;-54,7900
SC-P10;-16,7640;-54,7740
SC-P11;-16,7830;-54,7900
SC-P12;-16,7960;-54,7820
SD-P01;-13,7740;-52,6920
SD-P02;-13,7460;-52,6870
SD-P03;-13,7280;-52,6850
SD-P04;-13,6990;-52,6730
SD-P05;-13,6750;-52,6730
SD-P06;-13,6600;-52,6630
SD-P07;-13,6730;-52,6920
SD-P08;-13,6690;-52,6410
SE-P01;-16,8300;-54,0800
SE-P02;-16,8360;-54,0890
SE-P03;-16,8500;-54,1050
SG-P01;-16,7020;-53,9100
SG-P02;-16,6830;-53,9060
SJ-P01;-16,7420;-53,7690
SJ-P02;-16,7330;-53,7460
SM-P01;-16,7430;-53,8300
SM-P02;-16,7510;-53,8420
Solinftec Gauge - test;-13,6880;-51,0490
SO-P01;-10,6000;-45,4400
SO-P02;-10,5920;-45,4280
SP-P01;-16,7630;-54,5630
SP-P02;-16,7650;-54,5910
SP-P03;-16,7500;-54,6000
SP-P04;-16,7350;-54,6140
SP-P05;-16,7310;-54,6400
SP-P06;-16,7150;-54,6320
SP-P07;-16,7100;-54,6440
SP-P08;-16,6960;-54,6330
SP-P09;-16,6840;-54,6210
SS-P01;-14,3000;-56,4440
SS-P02;-14,2810;-56,4750
SS-P03;-14,2770;-56,4930
SS-P04;-14,2660;-56,4930
SS-P05;-14,2180;-56,5110
SS-P06;-14,2280;-56,5510
SU-P01;-16,8260;-53,9310
SU-P02;-16,8420;-53,9390
SU-P03;-16,8560;-53,9640
SZ-P01;-12,8910;-56,2550
SZ-P02;-12,8740;-56,2630
SZ-P03;-12,8890;-56,2450
TA-P01;-13,3720;-56,6000
TA-P02;-13,3360;-56,5740
TA-P03;-13,3150;-56,6010
TA-P04;-13,2990;-56,6110
