Sensor/Armadilha;Latitude;Longitude
CU-P05;-13.232;-56.722
CU-P06;-13.206;-56.741
DV-P01;-13.52;-56.542
DV-P02;-13.531;-56.575
EL-P01;-16.878;-53.981
EL-P02;-16.903;-53.974
EL-P03;-16.922;-53.985
EL-P04;-16.891;-54.002
ER-P01;-13.191;-53.978
ER-P02;-13.171;-53.962
GZ-P01;-16.702;-53.739
GZ-P01;-16.677;-53.81
GZ-P01;-16.689;-53.777
GZ-P02;-16.715;-53.758
GZ-P02;-16.698;-53.789
GZ-P02;-16.664;-53.813
GZ-P3;-16.688;-53.821
IP-P01;-10.567;-45.365
IP-P02;-10.586;-45.348
J2-P01;-16.745;-53.992
J2-P02;-16.756;-53.978
KM-P01;-12.793;-56.407
KM-P02;-12.778;-56.392
LD-P01;-16.948;-53.605
LD-P02;-16.94;-53.63
LU-P01;-13.738;-52.57
LU-P02;-13.756;-52.551
LU-P03;-13.763;-52.583
LU-P04;-13.784;-52.564
LU-P05;-13.808;-52.564
LU-P06;-13.816;-52.586
MA-P01;-13.842;-57.483
MA-P02;-13.859;-57.489
MA-P03;-13.833;-57.462
MA-P04;-13.849;-57.468
MA-P05;-13.824;-57.44
MA-P06;-13.837;-57.44
MA-P07;-13.853;-57.46
MP-P01;-13.456;-56.587
MP-P02;-13.475;-56.581
OV-P01;-16.744;-53.897
OV-P02;-16.718;-53.894
OV-P03;-16.745;-53.959
OV-P04;-16.71;-53.908
P01-MI50-51;-16.348;-55.02
P01-SC;-16.27;-55.137
P02-MI47-48;-16.35;-55.047
P02-SC;-16.25;-55.128
P03-MI03-05;-16.368;-55.057
P04-MI44-46-57;-16.345;-55.076
P05-MI04-40-44-SEDE;-16.363;-55.076
P06-MI37-38-41-42;-16.352;-55.094
P07-MI04-06-07;-16.377;-55.082
P08-MI29-30-33-34;-16.352;-55.119
P09-MI27-28-31-32;-16.369;-55.11
PB-P01;-13.77;-52.724
PB-P02;-13.743;-52.718
PB-P03;-13.716;-52.712
PB-P04;-13.698;-52.731
PB-P05;-13.689;-52.758
PB-P06;-13.689;-52.773
PB-P07;-13.674;-52.758
PB-P08;-13.661;-52.741
PB-P09;-13.653;-52.707
PB-P10;-13.682;-52.713
PB-P11;-13.677;-52.734
PF-P01;-10.618;-45.503
PF-P02;-10.638;-45.522
PI-P11;-12.221;-55.904
PI-P12;-12.222;-55.904
PL-P01;-13.804;-54.763
PL-P02;-13.835;-54.733
PL-P03;-13.827;-54.71
PL-P04;-13.858;-54.694
PL-P05;-13.862;-54.722
PL-P06;-13.889;-54.696
PL-P07;-13.913;-54.708
PL-P08;-13.927;-54.731
PL-P09;-13.885;-54.732
PL-P10;-13.909;-54.759
PL-P11;-13.918;-54.782
PL-P12;-13.887;-54.77
PL-P13;-13.863;-54.771
PL-P14;-13.83;-54.785
PT-P01;-16.801;-53.901
PT-P01;-16.773;-53.808
PT-P02;-16.79;-53.899
PT-P02;-16.735;-53.796
PT-P03;-16.781;-53.892
PT-P03;-16.729;-53.811
QT-P01;-13.358;-55.671
QT-P02;-13.345;-55.667
QT-P03;-13.328;-55.677
QT-P04;-13.344;-55.685
QT-P05;-13.339;-55.705
QT-P06;-13.339;-55.72
QT-P07;-13.341;-55.745
QT-P08;-13.35;-55.714
QT-P09;-13.372;-55.691
